Gene ID	UniProtID	Protein length	Housekeeping?
ENSG00000159348	Q9UHQ9	305	1
ENSG00000122735	Q9UI46	699	0
ENSG00000186487	Q9UL68	1186	0
ENSG00000198753	Q9ULL4	1909	0
ENSG00000006606	Q9Y258	94	0
ENSG00000132640	Q9Y2F9	522	0
ENSG00000127952	Q9Y6J8	313	0
ENSG00000183571	A6NFU8	196	0
ENSG00000284308	A6NN90	582	0
ENSG00000285687	A8MWA6	464	0
ENSG00000284870	E9PI22	279	0
ENSG00000162383	O00341	560	0
ENSG00000149554	O14757	476	0
ENSG00000084731	O14782	793	0
ENSG00000104365	O14920	756	0
ENSG00000108349	O15234	703	1
ENSG00000147162	O15294	1046	1
ENSG00000167005	O43809	227	1
ENSG00000067208	O60447	810	0
ENSG00000139292	O75473	907	0
ENSG00000109501	O76024	890	0
ENSG00000160191	O76083	593	0
ENSG00000136908	O94777	84	0
ENSG00000130414	O95299	355	0
ENSG00000008130	O95544	446	0
ENSG00000106366	P05121	402	0
ENSG00000135480	P08729	469	0
ENSG00000253250	P0DMB2	117	0
ENSG00000137869	P11511	503	0
ENSG00000060138	P16989	372	0
ENSG00000175084	P17661	470	0
ENSG00000171051	P21462	350	0
ENSG00000117118	P21912	280	1
ENSG00000167419	P22079	712	0
ENSG00000101958	P23416	452	0
ENSG00000145708	P24387	322	0
ENSG00000160862	P25311	298	0
ENSG00000127472	P39877	138	0
ENSG00000168824	P42857	185	0
ENSG00000137561	P49638	278	0
ENSG00000057608	P50395	445	1
ENSG00000169813	P52597	415	0
ENSG00000130382	Q03111	559	0
ENSG00000140545	Q08431	387	0
ENSG00000100565	Q0VAA2	488	0
ENSG00000167074	Q10587	303	0
ENSG00000111361	Q14232	305	1
ENSG00000178209	Q15149	4684	0
ENSG00000168066	Q15637	639	1
ENSG00000171532	Q15784	382	0
ENSG00000185252	Q16587	644	0
ENSG00000139318	Q16828	381	0
ENSG00000275113	Q4V326	110	0
ENSG00000160404	Q5JU69	321	0
ENSG00000204869	Q6B9Z1	124	0
ENSG00000284938	Q6P0A1	183	0
ENSG00000198908	Q6PI77	547	0
ENSG00000237172	Q6UX72	402	0
ENSG00000082153	Q7L1Q6	419	1
ENSG00000244025	Q7Z4W3	81	0
ENSG00000167208	Q7Z614	316	0
ENSG00000110841	Q86W92	1011	0
ENSG00000197653	Q8IVF4	4471	0
ENSG00000145439	Q8N4T8	237	1
ENSG00000157800	Q8NCC5	494	0
ENSG00000204856	Q8WUB2	273	0
ENSG00000137142	Q8WX77	278	0
ENSG00000092871	Q8WZ73	363	0
ENSG00000134996	Q92882	214	0
ENSG00000179178	Q96AQ2	219	0
ENSG00000103707	Q96DP5	389	0
ENSG00000068912	Q96DZ1	483	1
ENSG00000075643	Q96EN8	888	0
ENSG00000157734	Q96L94	193	0
ENSG00000235109	Q96LW9	406	0
ENSG00000165186	Q96NR3	888	0
ENSG00000167914	Q96QA5	445	0
ENSG00000124535	Q96S55	665	1
ENSG00000169375	Q96ST3	1273	0
ENSG00000134375	Q99595	171	1
ENSG00000137269	Q9BTT6	524	0
ENSG00000196074	Q9BX26	1530	0
ENSG00000137747	Q9BYE2	586	0
ENSG00000168758	Q9C0C4	833	0
ENSG00000138821	Q9C0K1	460	0
ENSG00000135766	Q9GZT9	426	0
ENSG00000197872	Q9H0Q0	323	0
ENSG00000120725	Q9H173	461	0
ENSG00000125816	Q9H2Z4	354	0
ENSG00000101421	Q9H444	224	1
ENSG00000105559	Q9H4M7	779	0
ENSG00000146476	Q9H993	441	0
ENSG00000181433	Q9NXZ1	904	0
ENSG00000134285	Q9NYL4	201	0
ENSG00000169306	Q9NZN1	696	0
ENSG00000089012	Q9P1W8	387	0
ENSG00000091009	Q9P2N5	1060	0
ENSG00000168452	Q9UMR5	302	0
ENSG00000275746	Q9Y2Y9	288	0
ENSG00000142197	Q9Y3R5	2298	0
ENSG00000131788	Q9Y6X2	628	0
ENSG00000226314	A0A8I5KTY6	269	0
ENSG00000172969	A6NGY1	282	0
ENSG00000215262	A8MYU2	1149	0
ENSG00000105576	O14787	897	0
ENSG00000118257	O60462	931	0
ENSG00000137478	O94868	740	0
ENSG00000090266	O95178	105	1
ENSG00000125746	O95834	649	0
ENSG00000167112	O95900	331	0
ENSG00000118520	P05089	322	0
ENSG00000175198	P05165	728	0
ENSG00000105220	P06744	558	1
ENSG00000136628	P07814	1512	1
ENSG00000169919	P08236	651	0
ENSG00000135862	P11047	1609	0
ENSG00000255974	P11509	494	0
ENSG00000108691	P13500	99	0
ENSG00000274233	P13501	91	0
ENSG00000123268	P18846	271	0
ENSG00000197958	P30050	165	0
ENSG00000278195	P32745	418	0
ENSG00000166148	P37288	418	0
ENSG00000206073	P48594	390	0
ENSG00000236250	P49842	254	0
ENSG00000159352	P55036	377	1
ENSG00000186318	P56817	501	0
ENSG00000262111	P59541	319	0
ENSG00000104388	P61019	212	1
ENSG00000108688	P80098	99	0
ENSG00000160181	Q03403	129	0
ENSG00000160801	Q03431	593	0
ENSG00000130021	Q08623	228	0
ENSG00000150907	Q12778	655	0
ENSG00000069424	Q13303	367	0
ENSG00000121417	Q13398	564	0
ENSG00000158290	Q13620	913	1
ENSG00000183864	Q14106	344	1
ENSG00000167136	Q14249	297	0
ENSG00000156127	Q16520	125	0
ENSG00000102054	Q16576	425	0
ENSG00000183696	Q16831	310	0
ENSG00000156968	Q2QL34	196	0
ENSG00000204397	Q5EG05	197	0
ENSG00000147121	Q5JUW0	171	0
ENSG00000203756	Q5VVB8	128	0
ENSG00000275969	Q5VYP0	1347	0
ENSG00000180251	Q6AI14	798	0
ENSG00000146205	Q6IWH7	933	0
ENSG00000184925	Q6JVE5	192	0
ENSG00000275920	Q6L8H2	238	0
ENSG00000187961	Q6TDP4	642	0
ENSG00000273111	Q6UWN0	246	0
ENSG00000102837	Q6UX06	510	0
ENSG00000197013	Q86V71	674	0
ENSG00000173698	Q8IZP9	1017	0
ENSG00000177138	Q8IZU0	186	0
ENSG00000143373	Q8N1G0	1237	0
ENSG00000164729	Q8N808	338	0
ENSG00000197786	Q8NGF7	314	0
ENSG00000169551	Q8WUE5	264	0
ENSG00000158525	Q8WXQ8	436	0
ENSG00000167755	Q92876	244	0
ENSG00000005007	Q92900	1129	0
ENSG00000164237	Q96DG6	245	0
ENSG00000047579	Q96EV8	351	0
ENSG00000149089	Q96GX9	242	0
ENSG00000162086	Q96N20	296	0
ENSG00000101445	Q96T49	567	0
ENSG00000141556	Q9BTW9	1192	1
ENSG00000130234	Q9BYF1	805	0
ENSG00000263090	Q9BYQ4	174	0
ENSG00000101489	Q9BZC1	486	0
ENSG00000170638	Q9H4I3	376	0
ENSG00000163814	Q9H5V8	836	0
ENSG00000205755	Q9HC73	371	0
ENSG00000147481	Q9NSN8	517	0
ENSG00000185480	Q9NWS1	579	0
ENSG00000180098	Q9NX07	287	0
ENSG00000007402	Q9NY47	1150	0
ENSG00000196664	Q9NYK1	1049	0
ENSG00000103710	Q9NYN1	266	0
ENSG00000125848	Q9NZU0	649	0
ENSG00000033100	Q9P2E5	772	0
ENSG00000126261	Q9UBT2	640	1
ENSG00000135945	Q9UBZ9	1251	0
ENSG00000112031	Q9UGC7	380	0
ENSG00000172889	Q9UHF1	273	0
ENSG00000069493	Q9UHP7	191	0
ENSG00000123636	Q9UIF8	2168	0
ENSG00000101216	Q9UKD1	530	0
ENSG00000053372	Q9UKD2	239	1
ENSG00000167964	Q9ULW5	256	0
ENSG00000240184	Q9UN70	934	0
ENSG00000134917	Q9UP79	889	0
ENSG00000175221	Q9Y2X0	877	0
ENSG00000105497	Q9Y473	711	0
ENSG00000118922	Q9Y4X4	402	0
ENSG00000260734	A0A1W2PR48	441	0
ENSG00000182315	A6NE82	208	0
ENSG00000172538	A6NMN3	283	0
ENSG00000289051	C0HLV8	31	0
ENSG00000223569	C9J2P7	553	0
ENSG00000120436	O00270	319	0
ENSG00000092621	O43175	533	0
ENSG00000105738	O60292	1781	0
ENSG00000100027	O60688	119	0
ENSG00000187516	O75409	117	0
ENSG00000124827	O75603	506	0
ENSG00000165300	O94991	958	0
ENSG00000080802	O95628	575	0
ENSG00000149925	P04075	364	1
ENSG00000235711	P0C6C1	535	0
ENSG00000169083	P10275	920	0
ENSG00000070756	P11940	636	1
ENSG00000166526	P17036	446	0
ENSG00000066336	P17947	270	0
ENSG00000174951	P19526	365	0
ENSG00000198959	P21980	687	0
ENSG00000065989	P27815	886	0
ENSG00000163682	P32969	192	1
ENSG00000132386	P36955	418	0
ENSG00000091972	P41217	278	0
ENSG00000151704	P48048	391	0
ENSG00000161217	P49585	367	1
ENSG00000143878	P62745	196	0
ENSG00000105605	P62955	275	0
ENSG00000177807	P78508	379	0
ENSG00000061794	P82673	323	0
ENSG00000151615	Q12837	409	0
ENSG00000151150	Q12955	4377	0
ENSG00000167670	Q13111	956	0
ENSG00000103723	Q13367	1082	0
ENSG00000146457	Q15007	396	1
ENSG00000105852	Q15166	354	0
ENSG00000132128	Q15345	812	1
ENSG00000072195	Q15772	3267	0
ENSG00000214782	Q3C1V0	398	0
ENSG00000140632	Q49A26	553	0
ENSG00000154889	Q53F39	396	0
ENSG00000172469	Q5SRI9	462	0
ENSG00000081026	Q5TCQ9	1481	0
ENSG00000016864	Q68CQ7	371	0
ENSG00000150756	Q6P4H8	233	0
ENSG00000224496	Q6P9F5	258	0
ENSG00000155330	Q6PH81	154	0
ENSG00000103091	Q6PJI9	974	1
ENSG00000103534	Q6UXY8	1006	0
ENSG00000118420	Q7Z6J8	389	0
ENSG00000147649	Q86UE4	582	1
ENSG00000175309	Q8IUZ5	450	0
ENSG00000138496	Q8IXQ6	854	0
ENSG00000166025	Q8IY63	956	0
ENSG00000104332	Q8N474	314	0
ENSG00000118454	Q8N6S4	541	0
ENSG00000188283	Q8NA42	475	0
ENSG00000273274	Q8NAP8	495	0
ENSG00000145882	Q8NBM8	494	0
ENSG00000139629	Q8NCL4	622	0
ENSG00000198768	Q8NCL9	501	0
ENSG00000221931	Q8NH79	312	0
ENSG00000161243	Q8NI29	283	0
ENSG00000169122	Q8TC76	370	0
ENSG00000171695	Q8TD35	194	0
ENSG00000168418	Q8TDN1	519	0
ENSG00000288474	Q8WXF3	142	0
ENSG00000125755	Q92797	1274	0
ENSG00000164975	Q92966	411	0
ENSG00000185024	Q92994	677	0
ENSG00000151532	Q96AJ9	217	0
ENSG00000172794	Q96AX2	223	0
ENSG00000158301	Q96D09	838	0
ENSG00000197442	Q99683	1374	0
ENSG00000128335	Q9BQE5	337	0
ENSG00000163938	Q9BVP2	549	0
ENSG00000168137	Q9C0A6	1442	1
ENSG00000164118	Q9C0F1	390	0
ENSG00000117543	Q9H2P9	285	0
ENSG00000188611	Q9NR71	780	0
ENSG00000137210	Q9NUH8	114	1
ENSG00000274780	Q9P1Y6	1649	0
ENSG00000161526	Q9UHR5	308	0
ENSG00000113761	Q9UL40	294	0
ENSG00000250423	Q9ULL0	1709	0
ENSG00000171094	Q9UM73	1620	0
ENSG00000183207	Q9Y230	463	0
ENSG00000100129	Q9Y262	564	0
ENSG00000213593	Q9Y320	296	1
ENSG00000124596	Q9Y530	152	0
ENSG00000278570	Q9Y5X4	410	0
ENSG00000283247	A0A1B0GTI1	187	0
ENSG00000137266	A1A5C7	686	0
ENSG00000236032	A6NHG9	310	0
ENSG00000250374	A6NK02	468	0
ENSG00000205502	A6NLJ0	364	0
ENSG00000204060	A8MYZ6	492	0
ENSG00000112041	O00294	542	0
ENSG00000105679	O14556	408	0
ENSG00000171566	O43660	514	0
ENSG00000008294	O60271	1321	1
ENSG00000109917	O75312	459	0
ENSG00000078246	O75386	442	0
ENSG00000111344	O95294	804	0
ENSG00000116544	O95886	979	0
ENSG00000228474	P0C6T2	37	1
ENSG00000234414	P0DJD3	496	0
ENSG00000145681	P10915	354	0
ENSG00000162367	P17542	331	0
ENSG00000159335	P20962	102	0
ENSG00000166794	P23284	216	1
ENSG00000126432	P30044	214	1
ENSG00000127415	P35475	653	0
ENSG00000146701	P40926	338	1
ENSG00000069869	P46934	1319	0
ENSG00000261893	P49760	499	0
ENSG00000170917	P53370	316	0
ENSG00000122512	P54278	862	0
ENSG00000183421	P57078	832	0
ENSG00000233927	P62857	69	1
ENSG00000171858	P63220	83	1
ENSG00000101384	P78504	1218	0
ENSG00000198363	Q12797	758	0
ENSG00000099331	Q13459	2157	0
ENSG00000124587	Q13608	980	0
ENSG00000164749	Q14541	408	0
ENSG00000025772	Q15785	309	0
ENSG00000140836	Q15911	3703	0
ENSG00000188452	Q49MI3	558	0
ENSG00000141580	Q5MNZ6	344	1
ENSG00000163590	Q5SGD2	360	0
ENSG00000186280	Q6B0I6	523	0
ENSG00000185269	Q6P988	496	0
ENSG00000186075	Q6X784	338	0
ENSG00000105732	Q6ZN55	896	0
ENSG00000154447	Q7Z6J0	888	0
ENSG00000179168	Q86UU5	652	0
ENSG00000164077	Q86VX9	652	0
ENSG00000124116	Q8IUB2	231	0
ENSG00000155875	Q8IYX7	474	0
ENSG00000179598	Q8N2A8	252	0
ENSG00000285182	Q8N3X1	1017	0
ENSG00000235631	Q8N7C7	305	0
ENSG00000164465	Q8N8Z6	715	0
ENSG00000163382	Q8NCW5	288	1
ENSG00000153395	Q8NF37	534	0
ENSG00000269556	Q8NFB2	350	0
ENSG00000105767	Q8NFZ8	388	0
ENSG00000166342	Q8TDF5	533	0
ENSG00000131037	Q8TE68	723	0
ENSG00000172061	Q8TF66	581	0
ENSG00000173065	Q8WU58	562	0
ENSG00000069248	Q8WUM0	1156	1
ENSG00000105298	Q8WUQ7	758	1
ENSG00000171853	Q8WVT3	735	0
ENSG00000133884	Q92785	391	0
ENSG00000165973	Q92832	810	0
ENSG00000110074	Q96CU9	486	0
ENSG00000178404	Q96MC4	621	0
ENSG00000107815	Q96RR1	684	0
ENSG00000074416	Q99685	303	0
ENSG00000138468	Q9BQF6	1050	0
ENSG00000052723	Q9BRV8	207	0
ENSG00000130700	Q9BWX5	397	0
ENSG00000149451	Q9BZ11	813	0
ENSG00000134216	Q9BZP6	476	0
ENSG00000137571	Q9H2Y9	848	0
ENSG00000140553	Q9H3U1	944	0
ENSG00000162777	Q9H6A0	471	0
ENSG00000117133	Q9H9Y2	349	1
ENSG00000182117	Q9NPE3	64	1
ENSG00000116663	Q9NRD1	293	0
ENSG00000134247	Q9P2B2	879	0
ENSG00000138411	Q9P2P5	1572	0
ENSG00000275793	Q9UFD9	1639	0
ENSG00000068745	Q9UHH9	426	1
ENSG00000005469	Q9UKG9	612	0
ENSG00000198586	Q9UKI8	766	0
ENSG00000114656	Q9ULG3	409	0
ENSG00000113300	Q9ULM6	557	0
ENSG00000128482	Q9ULX5	631	0
ENSG00000184916	Q9Y219	1238	0
ENSG00000185721	Q9Y295	367	1
ENSG00000168734	Q9Y2B9	76	0
ENSG00000132855	Q9Y5C1	460	0
ENSG00000284546	A0A1W2PQJ5	194	0
ENSG00000283716	A0A5F9Z9Y6	199	0
ENSG00000240542	A8MXZ3	250	0
ENSG00000214360	A8MZ26	197	0
ENSG00000218819	B5MCY1	1934	0
ENSG00000133794	O00327	626	0
ENSG00000107404	O14640	695	1
ENSG00000155096	O14977	448	1
ENSG00000213886	O15205	165	0
ENSG00000113262	O15303	877	0
ENSG00000117419	O43414	337	1
ENSG00000007062	O43490	865	0
ENSG00000188994	O60281	2723	0
ENSG00000163684	O95059	124	0
ENSG00000198682	O95340	614	0
ENSG00000013375	O95394	542	0
ENSG00000156709	O95831	613	0
ENSG00000089127	P00973	400	0
ENSG00000292252	P0C617	329	0
ENSG00000240654	P0C862	333	0
ENSG00000125845	P12643	396	0
ENSG00000004700	P46063	649	0
ENSG00000168522	P49354	379	0
ENSG00000166592	P55042	308	0
ENSG00000138029	P55084	474	0
ENSG00000142188	P56557	158	0
ENSG00000127314	P61224	184	0
ENSG00000134873	P78369	228	0
ENSG00000136450	Q07955	248	1
ENSG00000117090	Q13291	335	0
ENSG00000134762	Q14574	896	0
ENSG00000068971	Q15173	497	1
ENSG00000107338	Q15464	509	0
ENSG00000184678	Q16778	126	0
ENSG00000203933	Q5JRM2	361	0
ENSG00000274588	Q5KSL6	1271	0
ENSG00000188760	Q66K66	360	0
ENSG00000117597	Q68CQ4	756	0
ENSG00000172292	Q6ZMG9	384	0
ENSG00000165966	Q6ZMN7	1036	0
ENSG00000170236	Q70EL3	339	0
ENSG00000130958	Q76EJ3	337	0
ENSG00000068831	Q7LDG7	609	0
ENSG00000099219	Q7Z2K6	904	0
ENSG00000198570	Q7Z3Z2	195	0
ENSG00000113269	Q86XS8	419	0
ENSG00000166833	Q8IVL1	2488	0
ENSG00000122852	Q8IWL2	248	0
ENSG00000161888	Q8NBT2	197	0
ENSG00000148357	Q8NDA2	5079	0
ENSG00000261897	Q8NGG3	340	0
ENSG00000176798	Q8NGJ5	315	0
ENSG00000198729	Q8TAE6	165	0
ENSG00000164294	Q8TED1	209	0
ENSG00000153207	Q8WYP5	2266	0
ENSG00000091428	Q8WZA2	1011	0
ENSG00000196937	Q92520	227	0
ENSG00000169228	Q969Q5	203	0
ENSG00000152382	Q96BN2	335	0
ENSG00000175643	Q96E14	147	0
ENSG00000165698	Q96E40	222	0
ENSG00000166479	Q96JJ7	454	1
ENSG00000182218	Q96JK4	782	0
ENSG00000184887	Q96KE9	538	0
ENSG00000159588	Q96LX7	622	0
ENSG00000156875	Q96MC6	490	1
ENSG00000164841	Q96NL1	305	0
ENSG00000124191	Q96NM4	488	0
ENSG00000143443	Q9BUN1	341	0
ENSG00000115468	Q9BUP0	239	0
ENSG00000134193	Q9BYZ8	158	0
ENSG00000136295	Q9C0H2	523	0
ENSG00000132323	Q9H0C8	392	1
ENSG00000187796	Q9H257	536	0
ENSG00000101181	Q9H4K7	406	0
ENSG00000180875	Q9H772	168	0
ENSG00000112304	Q9NPJ3	140	0
ENSG00000130810	Q9NQ55	473	0
ENSG00000136002	Q9NR80	690	0
ENSG00000094914	Q9NRG9	546	0
ENSG00000135776	Q9NRK6	738	1
ENSG00000151332	Q9NS73	344	0
ENSG00000095539	Q9NTN9	838	0
ENSG00000029363	Q9NYF8	920	0
ENSG00000130643	Q9NYX4	217	0
ENSG00000114125	Q9UBF6	113	1
ENSG00000172380	Q9UBI6	72	0
ENSG00000185222	Q9UHQ7	104	0
ENSG00000115525	Q9UNP4	418	0
ENSG00000089169	Q9Y2J0	694	0
ENSG00000250719	A0A087WWA1	95	0
ENSG00000205078	A8MT33	242	0
ENSG00000284166	A8MZ36	301	0
ENSG00000135750	O00180	336	0
ENSG00000117360	O43395	683	1
ENSG00000187498	P02462	1669	0
ENSG00000005022	P05141	298	1
ENSG00000282049	P07478	247	0
ENSG00000198467	P07951	284	0
ENSG00000120075	P09067	269	0
ENSG00000281395	P0C7T2	308	0
ENSG00000166707	P0CG32	403	0
ENSG00000143933	P0DP24	149	0
ENSG00000169100	P12236	298	1
ENSG00000159228	P16152	277	0
ENSG00000126767	P19419	428	1
ENSG00000116748	P23109	747	0
ENSG00000242574	P28068	263	0
ENSG00000076258	P31512	558	0
ENSG00000176887	P35716	441	0
ENSG00000111321	P36941	435	0
ENSG00000197540	P51124	257	0
ENSG00000103249	P51798	805	0
ENSG00000007350	P51854	596	0
ENSG00000111713	P54840	703	0
ENSG00000185272	P57052	281	0
ENSG00000159079	P57076	290	0
ENSG00000092969	P61812	414	0
ENSG00000164924	P63104	245	1
ENSG00000068079	P80217	286	0
ENSG00000160201	Q01081	240	1
ENSG00000103043	Q08AM6	782	0
ENSG00000104723	Q13454	348	0
ENSG00000186790	Q13461	319	0
ENSG00000102385	Q13474	957	0
ENSG00000185972	Q13939	588	0
ENSG00000087303	Q14112	1375	0
ENSG00000100304	Q14166	644	0
ENSG00000130706	Q16186	407	1
ENSG00000197921	Q5TA89	166	0
ENSG00000188558	Q5TZ20	316	0
ENSG00000143107	Q5VTL7	733	0
ENSG00000173335	Q5W186	159	0
ENSG00000174358	Q695T7	634	0
ENSG00000171219	Q6DT37	1551	0
ENSG00000278620	Q6L8H1	288	0
ENSG00000165802	Q6X4W1	530	0
ENSG00000144644	Q6ZQY3	521	0
ENSG00000182177	Q6ZVZ8	466	0
ENSG00000284953	Q7Z3S7	1137	0
ENSG00000185728	Q7Z739	585	0
ENSG00000163939	Q86U86	1689	1
ENSG00000129295	Q86X45	466	0
ENSG00000109083	Q8IY31	132	0
ENSG00000155275	Q8IYL2	757	0
ENSG00000100503	Q8N4C6	2090	0
ENSG00000171208	Q8NC67	525	0
ENSG00000284765	Q8ND23	1372	0
ENSG00000172320	Q8NGJ0	315	0
ENSG00000186306	Q8NGX3	314	0
ENSG00000251380	Q8TF63	244	0
ENSG00000170684	Q8WUU4	475	0
ENSG00000167971	Q8WXD9	1431	0
ENSG00000158321	Q8WXX7	1259	0
ENSG00000137760	Q96BT7	664	0
ENSG00000125703	Q96DT6	458	0
ENSG00000163923	Q96EH5	51	0
ENSG00000072182	Q96FT7	539	0
ENSG00000100359	Q96HU1	749	1
ENSG00000166801	Q96PZ2	611	0
ENSG00000204176	Q9BQS2	421	0
ENSG00000105255	Q9BTV5	496	0
ENSG00000079277	Q9BUB5	465	0
ENSG00000040608	Q9BZR6	473	0
ENSG00000065665	Q9H9S3	476	0
ENSG00000136146	Q9NPJ6	270	1
ENSG00000158985	Q9NRR3	84	0
ENSG00000106460	Q9NUM4	274	0
ENSG00000138758	Q9NVA2	429	0
ENSG00000185305	Q9NXU5	204	0
ENSG00000160993	Q9NXW9	302	0
ENSG00000176871	Q9NYS7	404	1
ENSG00000127366	Q9NYW4	299	0
ENSG00000116874	Q9UGM6	360	0
ENSG00000122375	Q9UHM6	478	0
ENSG00000062370	Q9UJU3	913	0
ENSG00000104164	Q9UL45	172	0
ENSG00000141101	Q9ULX3	412	1
ENSG00000153046	Q9Y232	598	0
ENSG00000124440	Q9Y2N7	669	0
ENSG00000111711	Q9Y3E0	138	0
ENSG00000130520	Q9Y4Z0	139	1
ENSG00000181541	Q9Y586	359	0
ENSG00000197584	Q9Y691	235	0
ENSG00000250673	A0A1B0GV85	526	0
ENSG00000269720	A0A1B0GVG4	234	0
ENSG00000288708	A0A804HI29	29	0
ENSG00000288841	A0A8I5KXM2	142	0
ENSG00000158079	A2A3K4	754	0
ENSG00000188175	A8MVW5	462	0
ENSG00000204514	B7Z6K7	855	0
ENSG00000009724	O00187	686	0
ENSG00000184156	O43525	872	0
ENSG00000178605	O43824	516	0
ENSG00000137674	O60882	483	0
ENSG00000105963	O75689	374	0
ENSG00000169217	O95400	341	1
ENSG00000109943	O95727	393	0
ENSG00000138798	P01133	1207	0
ENSG00000171236	P02750	347	0
ENSG00000170421	P05787	483	0
ENSG00000028277	P09086	479	0
ENSG00000249103	P0DN82	320	0
ENSG00000109321	P15514	252	0
ENSG00000147604	P18124	248	1
ENSG00000178363	P27482	149	0
ENSG00000166147	P35555	2871	0
ENSG00000205220	P40306	273	0
ENSG00000101076	P41235	474	0
ENSG00000166888	P42226	847	0
ENSG00000169814	P43251	543	0
ENSG00000183155	P47224	123	0
ENSG00000119707	P49756	843	1
ENSG00000123595	P51151	201	1
ENSG00000126233	P55000	103	0
ENSG00000171885	P55087	323	0
ENSG00000111481	P61923	177	1
ENSG00000120686	P61960	85	1
ENSG00000197576	Q00056	320	0
ENSG00000179295	Q06124	593	1
ENSG00000180370	Q13177	524	0
ENSG00000148660	Q13555	558	0
ENSG00000272636	Q14184	412	0
ENSG00000104897	Q15428	464	1
ENSG00000240230	Q49B96	90	0
ENSG00000188396	Q5JR98	221	0
ENSG00000154305	Q5JRA6	1907	0
ENSG00000100298	Q6NTF7	200	0
ENSG00000197683	Q6PEX3	210	0
ENSG00000116514	Q6ZMZ0	732	0
ENSG00000142046	Q6ZNR0	172	0
ENSG00000087253	Q7L5N7	544	0
ENSG00000172716	Q7Z7L1	901	0
ENSG00000172795	Q8IU60	420	0
ENSG00000090530	Q8IVL5	708	0
ENSG00000187790	Q8IYD8	2048	0
ENSG00000197123	Q8IYX0	411	0
ENSG00000162598	Q8N0U7	546	0
ENSG00000055950	Q8N983	215	1
ENSG00000198105	Q8NDW4	579	0
ENSG00000148541	Q8NE31	585	0
ENSG00000160318	Q8NHS1	167	0
ENSG00000230522	Q8NHZ7	208	0
ENSG00000221909	Q8TCP9	573	0
ENSG00000169302	Q8WU08	396	0
ENSG00000054967	Q969Z4	430	0
ENSG00000159556	Q96A47	359	0
ENSG00000063241	Q96AB3	205	1
ENSG00000086544	Q96DU7	683	0
ENSG00000166166	Q96FX7	289	0
ENSG00000106635	Q9BQE9	202	0
ENSG00000141873	Q9BRY0	314	0
ENSG00000132376	Q9BT40	448	1
ENSG00000124120	Q9BTX7	342	0
ENSG00000137500	Q9GZT6	254	0
ENSG00000088930	Q9H0D6	950	0
ENSG00000138777	Q9H2U2	334	0
ENSG00000124249	Q9H427	330	0
ENSG00000118961	Q9H6V9	325	0
ENSG00000102445	Q9H714	662	0
ENSG00000099834	Q9HBB8	845	0
ENSG00000129048	Q9NPB9	350	0
ENSG00000136247	Q9NPG8	344	0
ENSG00000104886	Q9NW61	149	0
ENSG00000119559	Q9UFG5	118	0
ENSG00000224487	Q9UGF7	316	0
ENSG00000109220	Q9UKJ5	165	0
ENSG00000049192	Q9UKP5	1117	0
ENSG00000166170	Q9UL15	447	0
ENSG00000130856	Q9UL36	1845	0
ENSG00000149054	Q9UL58	517	0
ENSG00000166532	Q9ULI2	386	0
ENSG00000106327	Q9UP52	801	0
ENSG00000165410	Q9Y281	166	0
ENSG00000162631	Q9Y2I2	539	0
ENSG00000134013	Q9Y4K0	774	0
ENSG00000012983	Q9Y4K4	846	0
ENSG00000001561	Q9Y6X5	453	0
ENSG00000288661	A0A7I2V2S6	59	0
ENSG00000204450	A6NGJ6	449	0
ENSG00000173237	A6NJI1	115	0
ENSG00000206384	A6NMZ7	2263	0
ENSG00000160209	O00764	312	0
ENSG00000004776	O14558	160	0
ENSG00000085365	O15126	338	0
ENSG00000115241	O15355	546	0
ENSG00000213658	O43561	262	0
ENSG00000160145	O60229	2986	0
ENSG00000078725	O60477	761	0
ENSG00000115286	O75251	213	0
ENSG00000198542	O95965	494	0
ENSG00000168309	O95990	144	0
ENSG00000004939	P02730	911	0
ENSG00000091483	P07954	510	0
ENSG00000261221	P0CJ78	1059	1
ENSG00000259330	P0DMQ5	153	0
ENSG00000169575	P12018	145	0
ENSG00000112280	P20849	921	0
ENSG00000112619	P23942	346	0
ENSG00000106268	P36639	156	0
ENSG00000117298	P42892	770	0
ENSG00000036565	P54219	525	0
ENSG00000170608	P55318	350	0
ENSG00000277641	P56703	355	0
ENSG00000129128	P61009	180	1
ENSG00000262666	P81408	668	0
ENSG00000103642	P83111	547	0
ENSG00000188710	P83859	136	0
ENSG00000166900	Q13277	289	0
ENSG00000131899	Q15334	1064	0
ENSG00000114956	Q16854	277	0
ENSG00000214753	Q1KMD3	747	1
ENSG00000183423	Q3SXY7	679	0
ENSG00000176222	Q494X3	552	0
ENSG00000177875	Q52MB2	194	0
ENSG00000186188	Q5NUL3	361	0
ENSG00000203814	Q5QNW6	126	0
ENSG00000137411	Q5ST30	1063	0
ENSG00000285426	Q5TA31	235	0
ENSG00000146243	Q5VVH5	260	0
ENSG00000136848	Q5VWQ8	1189	0
ENSG00000005194	Q6FI81	312	0
ENSG00000186281	Q6NUI2	795	0
ENSG00000221923	Q6PDB4	577	0
ENSG00000182585	Q6UW88	154	0
ENSG00000148356	Q6UWE0	723	0
ENSG00000178904	Q6ZPD9	716	0
ENSG00000131951	Q6ZRR7	1453	0
ENSG00000187754	Q7RTT5	188	0
ENSG00000185475	Q7Z7N9	219	0
ENSG00000180638	Q86VL8	602	0
